sequence_number,path,file_type,size_bytes,line_count,purpose,runtime_surface,static_callers,dynamic_usage_checked,route_or_entrypoint,CI/deployment_usage,migration/data_dependency,security_review,performance_review,disposition,evidence,tests_required,review_status,changing_commit_sha
86,dashboard/public/brand/landing/screenshots/linas-landing-01-hero.jpg,binary,112479,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
87,dashboard/public/brand/landing/screenshots/linas-landing-02-features.jpg,binary,93529,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
88,dashboard/public/brand/landing/screenshots/linas-landing-03-how-it-works.jpg,binary,87916,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
89,dashboard/public/brand/landing/screenshots/linas-landing-04-app-tour.jpg,binary,68736,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
90,dashboard/public/brand/landing/screenshots/linas-landing-05-pricing.jpg,binary,45232,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
91,dashboard/public/brand/landing/screenshots/linas-landing-06-resources.jpg,binary,63429,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
92,dashboard/public/brand/landing/screenshots/linas-landing-07-download.jpg,binary,85645,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
93,dashboard/public/brand/landing/screenshots/linas-landing-08-contact.jpg,binary,67169,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
94,dashboard/public/brand/landing/screenshots/linas-landing-09-guest-ai.jpg,binary,92644,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
95,dashboard/public/brand/linas-auth-hero.png,binary,391522,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
96,dashboard/public/brand/linas-avatar-chat.png,binary,21674,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
97,dashboard/public/brand/linas-avatar-circle.png,binary,400719,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
98,dashboard/public/brand/linas-empty-state.png,binary,236374,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
99,dashboard/public/brand/linas-state-idle.png,binary,62997,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
100,dashboard/public/brand/linas-state-thinking.png,binary,73687,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
101,dashboard/public/brand/linas-state-typing.png,binary,73687,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
102,dashboard/public/brand/linas-state-welcome.png,binary,62997,,,,,NO,,,,UNREVIEWED,UNREVIEWED,BINARY_ASSET_REVIEW,phase0_shell_only,,UNREVIEWED,
103,dashboard/public/manifest.json,json,416,15,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
104,dashboard/src/App.jsx,javascript,11813,247,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
105,dashboard/src/App.routes.test.jsx,javascript,1046,34,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
106,dashboard/src/MobileLiveChat.auth.test.jsx,javascript,2090,70,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
107,dashboard/src/components/Auth/ProtectedRoute.jsx,javascript,1319,42,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
108,dashboard/src/components/Auth/ProtectedRoute.test.jsx,javascript,2901,93,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
109,dashboard/src/components/BotInstructionsTab.jsx,javascript,10641,319,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
110,dashboard/src/components/Common/ErrorBoundary.jsx,javascript,2145,73,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
111,dashboard/src/components/Common/LoadingScreen.jsx,javascript,5210,130,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
112,dashboard/src/components/ContentFilesPanel.jsx,javascript,18452,480,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
113,dashboard/src/components/DynamicMessagesPanel.jsx,javascript,4894,145,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
114,dashboard/src/components/FeedbackModal.jsx,javascript,4479,118,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
115,dashboard/src/components/Layout/Header.jsx,javascript,12657,306,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
116,dashboard/src/components/Layout/Sidebar.downloads.test.jsx,javascript,1682,59,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
117,dashboard/src/components/Layout/Sidebar.faqSingleEntry.test.jsx,javascript,1851,54,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
118,dashboard/src/components/Layout/Sidebar.jsx,javascript,13716,371,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
119,dashboard/src/components/Layout/Sidebar.productSurface.test.jsx,javascript,2381,56,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
120,dashboard/src/components/LikeFeedbackModal.jsx,javascript,3738,105,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
121,dashboard/src/components/LiveChat/ConversationIndicators.jsx,javascript,2104,73,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
