path,ext,bytes,loc,hand_written,fully_read,review_status,notes
archive/docs/evidence/mobile_design_handoff/screenshots/light_guest_chat.png,.png,11366,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/mobile_design_handoff/screenshots/light_guest_gate.png,.png,11172,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/mobile_design_handoff/screenshots/light_live_chat.png,.png,9811,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/mobile_design_handoff/screenshots/light_owner_empty.png,.png,10203,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/mobile_design_handoff/screenshots/light_proposal.png,.png,11328,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/mobile_design_handoff/screenshots/light_rtl_mixed.png,.png,8047,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/mobile_design_handoff/screenshots/light_settings.png,.png,9791,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/phase2_load_simulation.json,.json,1086,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/plan_economics_wave0.json,.json,8227,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/public-landing/landing-desktop.png,.png,1200544,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/public-landing/landing-mobile.png,.png,913454,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/system_copilot_diagnosis_faq.json,.json,3057,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/system_copilot_v2/01_baseline_audit.md,.md,4639,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/evidence/system_copilot_v2/02_dod_evidence_report.md,.md,3766,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/whatsapp_cloud/WHATSAPP_CLOUD_COEXISTENCE.md,.md,8076,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/planning/codebase/ARCHITECTURE.md,.md,5826,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/planning/codebase/CONCERNS.md,.md,6795,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/planning/codebase/CONVENTIONS.md,.md,5039,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/planning/codebase/INTEGRATIONS.md,.md,4317,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/planning/codebase/STACK.md,.md,2952,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/planning/codebase/STRUCTURE.md,.md,8313,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/planning/codebase/TESTING.md,.md,5469,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/scripts/appointment_api_manual_probe.py,.py,1562,42,YES,YES,COMPLETE,
archive/scripts/audit/line_count_gate.py,.py,1807,53,YES,YES,COMPLETE,
archive/scripts/check_message_flow.py,.py,13823,340,YES,YES,COMPLETE,
archive/scripts/check_provider_status.py,.py,3890,117,YES,YES,COMPLETE,
archive/scripts/delete_all_conversations.py,.py,9069,238,YES,YES,COMPLETE,
archive/scripts/meta_webhook_contract.py,.py,9979,252,YES,YES,COMPLETE,
archive/scripts/montymobile_manual_probe.py,.py,12298,397,YES,YES,COMPLETE,
archive/scripts/wa_app_review_temp_bind.py,.py,5306,139,YES,YES,COMPLETE,
backend/Dockerfile,(none),472,,NO,N/A,BINARY_OR_NON_SOURCE,
backend/Dockerfile.prod,.prod,532,,NO,N/A,BINARY_OR_NON_SOURCE,
backend/Dockerfile.simple,.simple,668,,NO,N/A,BINARY_OR_NON_SOURCE,
backend/requirements.txt,.txt,442,,NO,N/A,BINARY_OR_NON_SOURCE,
config.py,.py,23161,453,YES,YES,COMPLETE,
config/whatsapp_cloud_templates.json,.json,3218,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/.dockerignore,(none),43,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/Dockerfile,(none),262,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/Dockerfile.prod,.prod,466,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/e2e/cm-smoke.spec.mjs,.mjs,13941,388,YES,YES,COMPLETE,
dashboard/e2e/public-landing.spec.mjs,.mjs,3169,71,YES,YES,COMPLETE,
dashboard/eslint.config.mjs,.mjs,2468,79,YES,YES,COMPLETE,
dashboard/index.html,.html,1953,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/jsconfig.json,.json,707,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/nginx.conf,.conf,516,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/package-lock.json,.json,261471,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/package.json,.json,1779,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/playwright.config.mjs,.mjs,1999,61,YES,YES,COMPLETE,
